epoch,train_loss,val_loss,train_acc,val_acc
1,0.45202,0.35053,0.78345,0.84978
2,0.31084,0.25038,0.86248,0.89378
3,0.25378,0.21757,0.89660,0.92033
4,0.23310,0.20195,0.89941,0.90805
5,0.21377,0.17485,0.91019,0.93262
6,0.20245,0.17328,0.91494,0.92667
7,0.19155,0.24761,0.92301,0.89933
8,0.19187,0.16977,0.92572,0.92985
9,0.18507,0.15001,0.92759,0.94174
10,0.18519,0.15963,0.92581,0.93619
